# zeta    SD    SD_err
0.0001 0.0 0.0
0.0002 0.0 0.0
0.0003 0.0 0.0
0.0004 0.0 0.0
0.0005 0.0 0.0
0.0006 0.0 0.0
0.0007 0.0 0.0
0.0008 0.0 0.0
0.0009 0.0 0.0
0.001 0.0 0.0
0.0011 0.0 0.0
0.0012 0.0 0.0
0.0013 0.0 0.0
0.0014 0.0 0.0
0.0015 0.0 0.0
0.0016 0.0 0.0
0.0017 0.0 0.0
0.0018 0.0 0.0
0.0019 0.0 0.0
0.002 0.0 0.0
0.0021 0.0 0.0
0.0022 0.0 0.0
0.0023 0.0 0.0
0.0024 0.0 0.0
0.0025 0.0 0.0
0.0026 0.0 0.0
0.0027 4.935585071701226e-07 5.804259810507718e-09
0.0028 2.0461610396056317e-06 7.27659504259836e-08
0.0029 3.6656206841406805e-06 9.109498209183666e-08
0.003 9.272000525776516e-05 4.419646799179536e-06
0.0031 0.00030483672859417713 8.704413788344626e-06
0.0032 0.0003945496911353499 1.3226220294441433e-05
0.0033 0.0004713599684954165 1.5299017703925223e-05
0.0034 0.0005346101383251163 1.8849547524151267e-05
0.0035 0.000549915311457137 2.3970363334269998e-05
0.0036 0.0005757890890768946 1.9369428035556574e-05
0.0037 0.0005790282786703945 2.0044357757831636e-05
0.0038 0.0005953663844852177 1.7012287628090588e-05
0.0039 0.0005954528206331716 1.6881193049568633e-05
0.004 0.0005995591950758491 1.5551928772055182e-05
0.0041 0.0006063724264839225 1.671675470618917e-05
0.0042 0.0006051464078840757 1.456157082722217e-05
0.0043 0.0006150324666023738 1.6663388061131565e-05
0.0044 0.0006166865216420738 1.6870065923101467e-05
0.0045 0.0006283949446009254 1.7049961833282446e-05
0.0046 0.000632688120561782 1.704935987137981e-05
0.0047 0.0006410351874897352 1.7554275462530876e-05
0.0048 0.0006438586421723328 1.814802143619928e-05
0.0049 0.0006527310049132031 1.6481098346232003e-05
0.005 0.0006577805088135403 1.7212561735145985e-05
0.0051 0.0006657833562804045 1.80091484158332e-05
0.0052 0.0006760028212773968 1.7227317576349244e-05
0.0053 0.0006798785796743416 1.8396640861702208e-05
0.0054 0.0006851897253863341 1.788314987338004e-05
0.0055 0.0006963330376874272 1.9084910922902144e-05
0.0056 0.0007068174991467033 1.7938557999745392e-05
0.0057 0.0007139976567888722 1.7598904940513166e-05
0.0058 0.0007250238831238595 1.906024069792217e-05
0.0059 0.000732313241567432 1.755993842316026e-05
0.006 0.0007434142881159871 1.9450395449331587e-05
0.0061 0.0007517770213966373 1.989218363573079e-05
0.0062 0.0007599286432126375 1.7979813447394735e-05
0.0063 0.0007737777044474725 1.947411712328225e-05
0.0064 0.000782345064134107 2.1133660197025164e-05
0.0065 0.0007920203844441128 2.14800416783997e-05
0.0066 0.0008062059658517791 2.3048839993413944e-05
0.0067 0.0008195871794842816 2.1527111406569173e-05
0.0068 0.0008273878267022062 2.0351033703478504e-05
0.0069 0.000841938936978211 2.1191380369502552e-05
0.007 0.0008558866305621323 2.1229409775833098e-05
0.0071 0.0008652352431420024 2.4403763053031222e-05
0.0072 0.0008808442711399104 2.2529126977969244e-05
0.0073 0.0008939058054963062 2.3388400053893848e-05
0.0074 0.0009095244658474009 2.5822318255771977e-05
0.0075 0.0009231042411342286 2.4939527492960464e-05
0.0076 0.0009359209471825064 2.493556812839185e-05
0.0077 0.0009533872528909751 2.3606275557670578e-05
0.0078 0.0009659935426285208 2.577287064195653e-05
0.0079 0.000983949116761126 2.5351139549075568e-05
0.008 0.000999775240729135 2.500675003802143e-05
0.0081 0.0010165555104862695 2.6935148441673408e-05
0.0082 0.0010338385918386875 2.7418993534485332e-05
0.0083 0.0010472534544703112 2.608802030264051e-05
0.0084 0.0010646114150712456 2.9519981990968978e-05
0.0085 0.0010849595177240485 2.6287766314378758e-05
0.0086 0.001104142422595473 2.9018216902949173e-05
0.0087 0.001122385977237777 3.212502138157713e-05
0.0088 0.001138663216572398 2.962654851722042e-05
0.0089 0.0011591802336026094 3.0225054021357486e-05
0.009 0.0011781147940247588 3.1309371369918495e-05
0.0091 0.001198859980314632 3.2259804547851833e-05
0.0092 0.0012187950630745926 3.158099968260854e-05
0.0093 0.0012397354601284905 3.2609475516484714e-05
0.0094 0.0012638567402597496 3.323384127685874e-05
