# zeta    std_dev
0.0001 0.0
0.0002 0.0
0.0003 0.0
0.0004 0.0
0.0005 0.0
0.0006 0.0
0.0007 7.069476642581119e-07
0.0008 4.944521185109838e-05
0.0009 2.5716181190060076e-05
0.001 0.000250613199921712
0.0011 0.00030452552782976995
0.0012 0.0003077478168484709
0.0013 0.00031657464380458524
0.0014 0.00032811453350926103
0.0015 0.0003474185963646736
0.0016 0.0003654002651545289
0.0017 0.000388580489860209
0.0018 0.0004065401771043054
0.0019 0.00043771679128747163
0.002 0.0004674409026818256
0.0021 0.0005023571911498829
0.0022 0.000535531157613635
0.0023 0.0005724956252889623
0.0024 0.0006111256152379804
0.0025 0.0006502182657385134
0.0026 0.000697571163950317
0.0027 0.0007469200171203072
0.0028 0.0008052719302198482
0.0029 0.0008645827649797329
0.003 0.0009265759323444572
0.0031 0.0009965114638076172
0.0032 0.00107505624852842
0.0033 0.0011480530658358088
0.0034 0.0012344876232267378
0.0035 0.001327938836307983
0.0036 0.0014411949578041134
0.0037 0.0015704807526359563
0.0038 0.001775406909633676
0.0039 0.0017574841007460067
0.004 0.0017791191160515364
0.0042 0.001776592687696029
0.0044 0.0017571708667912748
0.0046 0.001957396547355696
0.0048 0.0018057069656785398
0.005 0.0017509361036599823
0.0052 0.0017423729244624986
0.0054 0.0018761968414254938
0.0056 0.0017194465095998188
0.0058 0.0017981343113349457
0.006 0.001679052834003445
0.0062 0.001681859220475959
0.0064 0.0016895819026019425
0.0066 0.0018458522753459984
0.0068 0.001715909959984789
0.007 0.0017301810249147342
0.0072 0.0017237187488030059
0.0074 0.0017292359412179705
0.0076 0.0017387922470496584
0.0078 0.001755514821213424
0.008 0.0017688866871495754
0.0082 0.0017830714775283127
0.0084 0.001820844209364162
0.0086 0.0018069179868217596
0.0088 0.0018240903519014622
0.009 0.0018369278129529206
0.0092 0.0018560965263423128
0.0094 0.0018586292238569264
0.0096 0.0018891603445711008
0.0098 0.0019001429918824532
0.01 0.0019115429596990488
0.0102 0.0019260102712537646
0.0104 0.0019494465845400844
0.0106 0.0019658412137047083
0.0108 0.0020607664658992783
0.011 0.001990653059952939
0.0112 0.0020113191748141316
0.0114 0.0020277592398938783
0.0116 0.002184076705606971
0.0118 0.002822183079102949
0.012 0.0028956491073289597
0.0122 0.002344294558945185
0.0124 0.0030370899947112203
0.0126 0.0026565752879929828
0.0128 0.0029120334084579112
0.013 0.002826575923051599
0.0132 0.002563968981013616
0.0134 0.0023807971284372383
0.0136 0.0030727915939744435
0.0138 0.002867644530812702
0.014 0.0025881174930052924
0.0142 0.002701793397190096
0.0144 0.0022939234040394636
0.0146 0.002545007344802761
0.0148 0.002333544694236646
0.015 0.0028216051936973746
0.0152 0.002385228868049144
0.0154 0.0028141052359453435
0.0156 0.0024337688961567406
0.0158 0.002822194331437862
0.016 0.0021220031055349566
0.0162 0.0027249738952878065
0.0164 0.0028120621433211607
0.0166 0.002470117346018201
0.0168 0.003174636874947275
0.017 0.002696759887346295
0.0172 0.002579352775596041
0.0174 0.002702999924967628
0.0176 0.002930698174663335
0.0178 0.002371696567391158
0.018 0.0026346160778707396
0.0182 0.0024483639434069032
0.0184 0.0034125477363364455
0.0186 0.002861271771433116
0.0188 0.0027044365144656287
0.019 0.0025483167581562536
0.0192 0.00268445859986702
0.0194 0.003058605643083135
0.0196 0.0022709959407658568
0.0198 0.00312556776568674
0.02 0.003073161588657518
0.0202 0.003169621296243449
0.0204 0.003104751806892139
0.0206 0.003114962872571678
0.0208 0.0034558293350475224
0.021 0.0030616693044440645
0.0212 0.00277203274002581
0.0214 0.0027639706249524432
0.0216 0.0034087760322108287
0.0218 0.0036078032485017805
0.022 0.0031487807077938915
0.0222 0.0033144402286962426
0.0224 0.003166336489063504
0.0226 0.003108038727944039
0.0228 0.003572240812259862
0.023 0.0033673397330682272
0.0232 0.0033880851317521525
0.0234 0.003580882553362369
0.0236 0.0033030062941167707
0.0238 0.003445157353213348
0.024 0.003344491060591282
0.0242 0.0033714295613248395
0.0244 0.003689632822056959
0.0246 0.003968847234701784
0.0248 0.0034612520849795093
0.025 0.0032626574746324505
0.0252 0.003721968549165213
0.0254 0.0035298255857194984
0.0256 0.0036352158247344823
0.0258 0.00414232536504558
0.026 0.004159799111973438
0.0262 0.004075912820212793
0.0264 0.0034607730254633865
0.0266 0.003815223971063167
0.0268 0.0037461912670571163
0.027 0.0038514411747779553
0.0272 0.004009187052396034
0.0274 0.003730717042737897
0.0276 0.003954804008642527
0.0278 0.004233321664969484
0.028 0.00416563182165683
0.0282 0.004211268700994393
0.0284 0.004689488260394197
0.0286 0.0038888844447186907
0.0288 0.0039851690029376425
0.029 0.004350711652948285
0.0292 0.004712931869120856
0.0294 0.00413018806083936
0.0296 0.004009350585119739
0.0298 0.004042840195642167
0.03 0.004577242793950852
0.0302 0.004243285964956875
0.0304 0.004925977124771795
0.0306 0.0043949550825349735
0.0308 0.0043173339308854725
0.031 0.0041744458415339395
0.0312 0.004945610460173243
0.0314 0.004657970871460555
0.0316 0.004553085977389401
0.0318 0.004982227548494248
0.032 0.004942342946900285
0.0322 0.004415170301709777
0.0324 0.004892633299727254
0.0326 0.004330554669990324
0.0328 0.004930024076858042
0.033 0.004991862303787536
0.0332 0.005237793509446511
0.0334 0.004738337119810599
0.0336 0.004886323640273944
0.0338 0.004733480766159297
0.034 0.0049091844732883074
0.0342 0.005111007282874874
0.0344 0.004797946773944038
0.0346 0.005107789193966407
0.0348 0.00492214621419356
0.035 0.004728682052112935
0.0352 0.005128947306706806
0.0354 0.00559269729239613
0.0356 0.005075120743302567
0.0358 0.005177113188715793
0.036 0.00566398881449946
0.0362 0.004936514680733767
0.0364 0.004907521956076712
0.0366 0.0050814464363973175
0.0368 0.005283688097115499
0.037 0.005491260347841377
0.0372 0.006005779807452151
0.0374 0.00521275880615054
0.0376 0.005779391614729011
0.0378 0.005461572443351366
0.038 0.00522685548103255
0.0382 0.005866739089570969
0.0384 0.0058030840033554566
0.0386 0.005531222094688931
0.0388 0.005257613934987524
0.039 0.006003336428220561
0.0392 0.0055988476612402124
0.0394 0.005866338239206379
0.0396 0.006615815202792472
0.0398 0.006057016137703449
0.04 0.006065365970252743
0.0402 0.005672952555713383
0.0404 0.005471656963699388
0.0406 0.005726387231675832
0.0408 0.00638263944608929
0.041 0.005963640490262639
0.0412 0.005922534168445126
0.0414 0.006273661106395531
0.0416 0.005683477498835991
0.0418 0.006076460054307935
0.042 0.00629655933425351
0.0422 0.005850572760884186
0.0424 0.005874514836988668
0.0426 0.006408419716901741
0.0428 0.006299959732410994
0.043 0.0062437008209855
0.0432 0.006209862487042286
0.0434 0.006983845383223701
0.0436 0.006524893450545764
0.0438 0.006688767645269195
0.044 0.006784493845313739
0.0442 0.006650808267421336
0.0444 0.006726208153454664
0.0446 0.006286872531058269
0.0448 0.006485668229255563
0.045 0.006411174086263373
0.0452 0.00649375229123925
0.0454 0.005866007408928155
0.0456 0.006264636923429801
0.0458 0.006311783266835134
0.046 0.007083580144750252
0.0462 0.007282589096221206
0.0464 0.007292573456736655
0.0466 0.007037055250911066
0.0468 0.006573401513341476
0.047 0.006823410413239116
0.0472 0.007150544314134414
0.0474 0.006969965897448854
0.0476 0.006939565465818087
0.0478 0.006153341531225128
0.048 0.007491326510824034
0.0482 0.007739643013886364
0.0484 0.007446904820796355
0.0486 0.006550661868832416
0.0488 0.006865321729613259
0.049 0.007014708760025252
0.0492 0.008309781974727135
0.0494 0.006903773637540559
0.0496 0.006701588473472166
0.0498 0.006512185930476802
0.05 0.007046478812625139
