# zeta    SD    SD_err
0.0001 0.0 0.0
0.0002 0.0 0.0
0.0003 0.0 0.0
0.0004 2.5768197453450257e-06 2.1337178832777707e-07
0.0005 0.0 0.0
0.0006 0.0 0.0
0.0007 5.421010862427522e-20 0.0
0.0008 1.0842021724855044e-19 0.0
0.0009 1.0842021724855044e-19 0.0
0.001 1.0842021724855044e-19 0.0
0.0011 1.0842021724855044e-19 0.0
0.0012 0.0 0.0
0.0013 2.168404344971009e-19 0.0
0.0014 0.0 0.0
0.0015 0.0 0.0
0.0016 2.168404344971009e-19 0.0
0.0017 2.168404344971009e-19 0.0
0.0018 0.0 0.0
0.0019 0.0 0.0
0.002 0.0 0.0
0.0021 2.168404344971009e-19 0.0
0.0022 2.168404344971009e-19 0.0
0.0023 0.0 0.0
0.0024 2.168404344971009e-19 0.0
0.0025 2.168404344971009e-19 0.0
0.0026 0.0 0.0
0.0027 4.336808689942018e-19 0.0
0.0028 0.0 0.0
0.0029 4.336808689942018e-19 0.0
0.003 4.336808689942018e-19 0.0
0.0031 0.0 0.0
0.0032 4.336808689942018e-19 0.0
0.0033 4.336808689942018e-19 0.0
0.0034 0.0 0.0
0.0035 3.000000000000398e-07 6.44786975041207e-08
0.0036 0.0 0.0
0.0037 4.336808689942018e-19 0.0
0.0038 2.9678948768444872e-06 2.2988486854350975e-07
0.0039 0.0 0.0
0.004 0.0 0.0
0.0042 6.66964586766044e-05 1.4076167111448257e-05
0.0044 0.00044241445772035974 4.956811607768561e-05
0.0046 0.00037702940415834944 2.5400029240622087e-05
0.0048 0.0003871717577510013 4.544539554276057e-05
0.005 4.336808689942018e-19 0.0
0.0052 0.00037519558899326094 3.075019195376292e-05
0.0054 0.0005264659913042817 3.14430236917916e-05
0.0056 0.0004354527740180329 3.5452762955273e-05
0.0058 0.0006320626313902761 5.169816426702728e-05
0.006 0.00034877608920337415 3.066860638429344e-05
0.0062 0.0005484086067887703 6.477875331824477e-05
0.0064 0.00039208046572100473 3.083524980260872e-05
0.0066 0.00036194037298980614 2.9351515934923416e-05
0.0068 0.0006200898244609405 4.9246555823894684e-05
0.007 0.0005589893895236295 6.588241074687583e-05
0.0072 0.0004464367946305501 3.1649498833040956e-05
0.0074 0.0006076378885487639 4.772385759812915e-05
0.0076 0.000565863193360374 3.861175489723104e-05
0.0078 0.0008079085730452425 4.190846358935169e-05
0.008 0.0006917745843842487 6.955076730738256e-05
0.0082 0.0004920181850297811 3.9738891560269566e-05
0.0084 0.000656726575981207 6.442354789278598e-05
0.0086 0.0004425541521667151 3.4373322351425505e-05
0.0088 0.0008546870306726317 6.696898536147209e-05
0.009 0.000512579191540195 4.037463463755521e-05
0.0092 0.0008577644900553996 5.6093999212610175e-05
0.0094 0.0008530160842563286 4.715546966945349e-05
0.0096 0.0008465515119589592 7.45014118683826e-05
0.0098 0.0005350447790605941 5.3859471101626073e-05
0.01 0.0011781962036944442 0.00010101592643362127
0.0102 0.0006356443751029344 6.387191312741504e-05
0.0104 0.0015461610265428373 9.803866879803685e-05
0.0106 0.001051152805066894 8.818980756942266e-05
0.0108 0.0006928401501067904 4.8557479859235324e-05
0.011 0.0007754655437864406 6.37424958614177e-05
0.0112 0.0008816429581185345 7.999210518199814e-05
0.0114 0.0005994856515380497 4.970685670679399e-05
0.0116 0.0009384095952194863 0.00010035521420929841
0.0118 0.0008801610761673116 7.48815721090576e-05
0.012 0.0007537475357173648 6.312009158616293e-05
0.0122 0.0007663388482910155 6.703992707703872e-05
0.0124 0.0010378192445700746 7.752169971082249e-05
0.0126 0.0010906057107864418 9.82101031382845e-05
0.0128 0.0013436264713081534 0.00010204013865636397
0.013 0.0010336352085721539 8.456568014916316e-05
0.0132 0.0007250066471419416 6.0931791951869314e-05
0.0134 0.0010143535628172262 0.00012909443674887633
0.0136 0.0007788908732293631 4.759158870471628e-05
0.0138 0.0010208158000344627 0.00010482797570455405
0.014 0.001096709788594959 9.014835746595757e-05
0.0142 0.0014157601052438228 7.554373404980807e-05
0.0144 0.0014463532492444576 0.00011492391371250636
0.0146 0.0007171666517623363 6.14748914273499e-05
0.0148 0.0013412158579438284 0.00011637681874591258
0.015 0.0011140707876970833 9.5114014238317e-05
0.0152 0.0016067652846635692 0.000123272549408265
