# zeta    average_speed
0.0001 0.0
0.0002 0.0
0.0003 0.0
0.0004 0.000288
0.0005 0.000313
0.0006 0.000374
0.0007 0.000434
0.0008 0.000495
0.0009 0.000554
0.001 0.000612
0.0011 0.00067
0.0012 0.000727
0.0013 0.001036
0.0014 0.001103
0.0015 0.001168
0.0016 0.001233
0.0017 0.001713
0.0018 0.001807
0.0019 0.0019
0.002 0.00148
0.0021 0.001538
0.0022 0.001595
0.0023 0.001651
0.0024 0.001706
0.0025 0.00176
0.0026 0.001813
0.0027 0.001865
0.0028 0.001916
0.0029 0.001966
0.003 0.002016
0.0031 0.002065
0.0032 0.002113
0.0033 0.002161
0.0034 0.002208
0.0035 0.002255
0.0036 0.0023
0.0037 0.002343
0.0038 0.002305
0.0039 0.002333
0.004 0.002364
0.0042 0.002175
0.0044 0.004202
0.0046 0.002338
0.0048 0.003273
0.005 0.002974
0.0052 0.005007
0.0054 0.004349
0.0056 0.003452
0.0058 0.005364
0.006 0.004398
0.0062 0.00512
0.0064 0.00515
0.0066 0.005098
0.0068 0.003821
0.007 0.003836
0.0072 0.005336
0.0074 0.006405
0.0076 0.006485
0.0078 0.006335
0.008 0.0061
0.0082 0.007107
0.0084 0.00592
0.0086 0.007511
0.0088 0.007324
0.009 0.007584
0.0092 0.005646
0.0094 0.008022
0.0096 0.008522
0.0098 0.009109
0.01 0.00836
0.0102 0.007884
0.0104 0.005123
0.0106 0.009079
0.0108 0.00882
0.011 0.007667
0.0112 0.010005
0.0114 0.010337
0.0116 0.010258
0.0118 0.010567
0.012 0.010738
0.0122 0.009618
0.0124 0.008861
0.0126 0.009756
0.0128 0.009997
0.013 0.012047
0.0132 0.008707
0.0134 0.008288
0.0136 0.012118
0.0138 0.012589
0.014 0.009571
0.0142 0.009669
0.0144 0.013821
0.0146 0.013069
0.0148 0.012655
0.015 0.01119
0.0152 0.011555
0.0154 0.011918
0.0156 0.013184
0.0158 0.01175
0.016 0.012722
0.0162 0.013832
0.0164 0.014609
0.0166 0.012917
0.0168 0.013456
0.017 0.014947
0.0172 0.011516
0.0174 0.015267
0.0176 0.014476
0.0178 0.010363
0.018 0.015126
0.0182 0.01698
0.0184 0.019116
0.0186 0.016418
0.0188 0.015061
0.019 0.018681
0.0192 0.015854
0.0194 0.016211
0.0196 0.017128
0.0198 0.018728
0.02 0.014133
0.0202 0.012988
0.0204 0.01588
0.0206 0.017707
0.0208 0.01475
0.021 0.01571
0.0212 0.022138
0.0214 0.017055
0.0216 0.017648
0.0218 0.017633
0.022 0.012875
0.0222 0.021113
0.0224 0.017786
0.0226 0.018179
0.0228 0.016358
0.023 0.021153
0.0232 0.013597
0.0234 0.019035
0.0236 0.02112
0.0238 0.021188
0.024 0.015343
0.0242 0.021978
0.0244 0.017853
0.0246 0.01824
0.0248 0.018224
0.025 0.02154
0.0252 0.018586
0.0254 0.021198
0.0256 0.018174
0.0258 0.016292
0.026 0.021903
0.0262 0.019828
0.0264 0.021715
0.0266 0.0204
0.0268 0.016419
0.027 0.02155
0.0272 0.018584
0.0274 0.02184
0.0276 0.01959
0.0278 0.017146
0.028 0.02355
0.0282 0.021762
0.0284 0.020138
0.0286 0.024528
0.0288 0.022574
0.029 0.025666
0.0292 0.022491
0.0294 0.023352
0.0296 0.020375
0.0298 0.022311
0.03 0.021896
0.0302 0.024193
0.0304 0.021863
0.0306 0.026504
0.0308 0.024751
0.031 0.021917
0.0312 0.023462
0.0314 0.022644
0.0316 0.023671
0.0318 0.025089
0.032 0.022577
0.0322 0.02207
0.0324 0.025553
0.0326 0.022668
0.0328 0.029475
0.033 0.024407
0.0332 0.028614
0.0334 0.025788
0.0336 0.02219
0.0338 0.028205
0.034 0.028169
0.0342 0.025248
0.0344 0.025645
0.0346 0.024299
0.0348 0.026669
0.035 0.028753
0.0352 0.024801
0.0354 0.028653
0.0356 0.025844
0.0358 0.028238
0.036 0.027899
0.0362 0.022973
0.0364 0.031544
0.0366 0.02944
0.0368 0.030508
0.037 0.029848
0.0372 0.032612
0.0374 0.030789
0.0376 0.022249
0.0378 0.025215
0.038 0.036105
0.0382 0.029486
0.0384 0.024637
0.0386 0.027791
0.0388 0.030875
0.039 0.031676
0.0392 0.025222
0.0394 0.033962
0.0396 0.02863
0.0398 0.034311
0.04 0.034072
0.0402 0.031047
0.0404 0.023286
0.0406 0.032773
0.0408 0.033702
0.041 0.033179
0.0412 0.026515
0.0414 0.028176
0.0416 0.032942
0.0418 0.026616
0.042 0.031505
0.0422 0.03228
0.0424 0.034717
0.0426 0.039169
0.0428 0.028256
0.043 0.036688
0.0432 0.034763
0.0434 0.036054
0.0436 0.036904
0.0438 0.033411
0.044 0.028571
0.0442 0.039049
0.0444 0.032889
0.0446 0.030396
0.0448 0.035192
0.045 0.035779
0.0452 0.033452
0.0454 0.03674
0.0456 0.031976
0.0458 0.041614
0.046 0.034677
0.0462 0.032832
0.0464 0.034024
0.0466 0.031292
0.0468 0.037958
0.047 0.035844
0.0472 0.036052
0.0474 0.036429
0.0476 0.033556
0.0478 0.033455
0.048 0.040673
0.0482 0.036244
0.0484 0.038802
0.0486 0.038316
0.0488 0.032809
0.049 0.035061
0.0492 0.041943
0.0494 0.02481
0.0496 0.039342
0.0498 0.041721
0.05 0.037445
