# zeta    average_speed
0.002 0.00031722279521294246
0.004 0.003169617292697105
0.006 0.0055599258059692135
0.008 0.005767131106375618
0.01 0.008617476787925989
0.012 0.011384295516648149
0.014 0.010791337743075486
0.016 0.012558498225618112
0.018 0.013893302384277287
0.02 0.012353492038587665
0.022 0.014539075936574396
0.024 0.015303971676748032
0.026 0.0119549457973029
0.028 0.019097628861257057
0.03 0.019734912939540605
0.032 0.01734920242631891
0.034 0.02367983586730049
0.036 0.0206584049287539
0.038 0.027515165834119212
0.04 0.024049613768323458
0.042 0.028329717999112953
0.044 0.029309370074441413
0.046 0.03214883254139883
0.048 0.03279493237174593
0.05 0.03387544918999278
0.052 0.033569473006156224
0.054 0.034326927573055534
0.056 0.031233776434356635
0.058 0.02866061640553783
0.06 0.03434344457052242
0.062 0.03509807235667703
0.064 0.03670600876453035
0.066 0.02877447395457316
0.068 0.04499128974377955
0.07 0.03689672397132533
0.072 0.03597052328266081
0.074 0.04941341308220751
0.076 0.03573700828791029
0.078 0.04020407378821147
0.08 0.043461072462642844
0.082 0.052754309200580274
0.084 0.03173767943586599
0.086 0.0475679755582275
0.088 0.03901425206826374
0.09 0.043882891720246855
0.092 0.03363070261923322
0.094 0.04512327942113622
0.096 0.043461655356145046
0.098 0.04886537018125559
0.1 0.05448892994265707
