# zeta    average_speed
0.0002 3.4817876396764396e-16
0.0004 1.2999848944053528e-16
0.0006 2.887868551273731e-16
0.0008 2.2347066281805924e-16
0.001 2.177053281824966e-16
0.0012 2.9511526793884334e-16
0.0014 4.1342365088381156e-16
0.0016 3.1124240578805328e-16
0.0018 1.7885038359498097e-15
0.002 4.310821917024342e-13
0.0022 3.424400097680673e-11
0.0024 3.13888568395439e-09
0.0026 1.750578559783127e-07
0.0028 9.186908391218369e-06
0.003 0.0005845011040365511
0.0032 0.0008779621762619832
0.0034 0.0014508541508944212
0.0036 0.000949954448672179
0.0038 0.001379951910420502
0.004 0.0008675939665858963
0.0042 0.002366815230592762
0.0044 0.001169943018880788
0.0046 0.0031255477098562946
0.0048 0.002118084703279368
0.005 0.002118181179853691
0.0052 0.003747707082141144
0.0054 0.0023097358332451355
0.0056 0.003802069946784075
0.0058 0.004242507443277841
0.006 0.0038709614272175994
0.0062 0.003968668213736766
0.0064 0.00315868512983783
0.0066 0.003279770822954638
0.0068 0.004300230271770466
0.007 0.005593179316176599
0.0072 0.004955259102967118
0.0074 0.004278291414414326
0.0076 0.0035965252377299713
0.0078 0.0039054522081225593
0.008 0.003993161982665992
0.0082 0.004308519214586035
0.0084 0.004972276013888993
0.0086 0.0061599146523627964
0.0088 0.007487124079791095
0.009 0.005741055802055717
0.0092 0.005128513766788311
0.0094 0.005369058896607985
0.0096 0.008353570480022193
0.0098 0.006324114764352972
0.01 0.00746201864330126
0.0102 0.005010379829711812
0.0104 0.007417736447400935
0.0106 0.00868619626390134
0.0108 0.005925474955017337
0.011 0.005479465867567785
0.0112 0.009765813323185414
0.0114 0.00883366902969913
0.0116 0.006366239155834164
0.0118 0.005304075261818823
0.012 0.007529411567067681
0.0122 0.011029222711324255
0.0124 0.010632705686101359
0.0126 0.008969144984280517
0.0128 0.007684216556883474
0.013 0.006895068415022459
0.0132 0.01073159768932877
0.0134 0.0063814893194984144
0.0136 0.006461753817083374
0.0138 0.006213976358472449
0.014 0.005409262883095777
0.0142 0.005166780972268573
0.0144 0.005621259506791787
0.0146 0.007853681907199588
0.0148 0.013597157656149265
0.015 0.01115350705206427
0.0152 0.005022353065500393
0.0154 0.004601628465616847
0.0156 0.005058164039884021
0.0158 0.013066605934379394
0.016 0.005112162256232254
0.0162 0.015069092447754198
0.0164 0.005337240632135398
0.0166 0.0036672673917446455
0.0168 0.012926203173336913
0.017 0.004554475117295488
0.0172 0.011048123155236966
0.0174 0.005533050653056724
0.0176 0.014210526296962027
0.0178 0.0054025897479722945
0.018 0.016450855433290137
0.0182 0.005833175843584809
0.0184 0.015157014303757071
0.0186 0.006057846288503964
0.0188 0.015765883854055467
0.019 0.0077681291295521844
0.0192 0.018425730964879476
0.0194 0.010491711315695994
0.0196 0.01875149091463052
0.0198 0.007760373704740895
0.02 0.011419335793953416
0.0202 0.015540816312645714
0.0204 0.00850161411101877
0.0206 0.009992852581365917
0.0208 0.019600930983847298
0.021 0.008974864283597728
0.0212 0.01646086765605453
0.0214 0.009773352950325113
0.0216 0.01589859731807903
0.0218 0.020257177491179917
0.022 0.017584500496742837
0.0222 0.014686662003767293
0.0224 0.020366210657065315
0.0226 0.019398206411339054
0.0228 0.021759082860051925
0.023 0.012463485189581621
0.0232 0.01892801438417241
0.0234 0.02298803531626551
0.0236 0.012314448136243335
0.0238 0.017275096454511127
0.024 0.0232924800227393
0.0242 0.020913953505764395
0.0244 0.01960144342927123
0.0246 0.01712374932930138
0.0248 0.023951095609597916
0.025 0.014356175847527658
0.0252 0.02312479072970739
0.0254 0.02365938754286716
0.0256 0.01530045360008226
0.0258 0.01637959344061135
0.026 0.02322858314263158
0.0262 0.02057225562335862
0.0264 0.015793904335865812
0.0266 0.025081784965280435
0.0268 0.02025149424346766
0.027 0.015796385363053854
0.0272 0.022103162201212667
0.0274 0.02149687733048493
0.0276 0.01647353953328607
0.0278 0.024401346031469522
0.028 0.023674986642350262
0.0282 0.01775558825863379
0.0284 0.027559397877759233
0.0286 0.017894681524172108
0.0288 0.026699243427640323
0.029 0.019041999361001934
0.0292 0.019976319094474348
0.0294 0.020817069317084783
0.0296 0.025498894676309454
0.0298 0.021030975105162573
0.03 0.029444752669681717
0.0302 0.020536353528686824
0.0304 0.019326597068103836
0.0306 0.019894801784577178
0.0308 0.030218220678618145
0.031 0.03038749091948474
0.0312 0.023007138622709963
0.0314 0.030087496911064326
0.0316 0.026935480896810544
0.0318 0.025650577215509292
0.032 0.021188829530190814
0.0322 0.03021312947115446
0.0324 0.022358876619893157
0.0326 0.025017667665374912
0.0328 0.02416450990579066
0.033 0.02386713039915308
0.0332 0.022148982609030296
0.0334 0.03271403338918885
0.0336 0.023714333872512483
0.0338 0.025990444479642556
0.034 0.028089776437021895
0.0342 0.02417652482828948
0.0344 0.02331138549489503
0.0346 0.024596225804619894
0.0348 0.028701265254277047
0.035 0.0273697481628751
0.0352 0.03433319838574843
0.0354 0.03400243785308871
0.0356 0.030806620967754085
0.0358 0.02929457369540538
0.036 0.03516411963616785
0.0362 0.025183032768106475
0.0364 0.025268005189197695
0.0366 0.027947235488105435
0.0368 0.029449039384937942
0.037 0.03360624109104832
0.0372 0.02867122938147319
0.0374 0.031202413902532884
0.0376 0.026401571967164316
0.0378 0.027553828782230085
0.038 0.026964511182629894
0.0382 0.03194814013767964
0.0384 0.03059090541931428
0.0386 0.03386699726868307
0.0388 0.03783227595762591
0.039 0.035490113580223706
0.0392 0.03601653905722674
0.0394 0.038131698743403816
0.0396 0.03632021557776391
