# zeta    mean_speed
0.0426 0.051771544999999995
0.0428 0.05270009999999999
0.043 0.050594944999999995
0.0432 0.052236545
0.0434 0.050470135
0.0436 0.051973155
0.0438 0.05246826
0.044 0.05229723
0.0442 0.052242300000000005
0.0444 0.053956080000000003
0.0446 0.052410885
0.0448 0.053922495
0.045 0.053056975
0.0452 0.05261250500000001
0.0454 0.05354578
0.0456 0.05546176
0.0458 0.05402075
0.046 0.055139230000000004
0.0462 0.05336784
0.0464 0.05447209000000001
0.0466 0.053658025
0.0468 0.056004620000000005
0.047 0.055599050000000004
0.0472 0.055668959999999997
0.0474 0.05612978
0.0476 0.054201975000000006
0.0478 0.055495010000000004
0.048 0.057262885
0.0482 0.05707374
0.0484 0.057198
0.0486 0.05679723500000001
0.0488 0.05660183
0.049 0.057537455
0.0492 0.05684925
0.0494 0.057749959999999996
0.0496 0.05741816499999999
0.0498 0.057535369999999995
0.05 0.057662864999999994
